player_id,battle_id,match_res,gamemode,gametip,start_time,character,K/D/A,money,CS,damage,view
特務小熊熊,,敗,一般對戰,30min 36s,2021-12-19 23:41:52,賽勒斯,20/5/3,$16.9k,131(30),40083,9(2)
特務小熊熊,,勝,一般對戰,25min 46s,2021-12-19 23:10:21,犽宿,11/3/1,$13.1k,170(35),23491,11(1)
特務小熊熊,,敗,一般對戰,32min 20s,2021-12-18 02:07:09,派克,13/11/8,$15.1k,35(0),15510,17(6)
特務小熊熊,,敗,一般對戰,27min 15s,2021-12-16 23:22:06,犽宿,20/6/4,$16.2k,144(10),37591,3(2)
特務小熊熊,,敗,一般對戰,39min 47s,2021-11-26 17:26:44,阿卡莉,17/7/9,$14.5k,118(8),35933,1(2)
特務小熊熊,,敗,一般對戰,45min 31s,2021-11-20 23:17:57,犽宿,13/12/7,$16.6k,187(26),38466,8(1)
特務小熊熊,,勝,一般對戰,22min 10s,2021-11-20 22:50:42,犽宿,4/2/4,$9.6k,146(28),9975,6(1)
特務小熊熊,,勝,一般對戰,24min 53s,2021-11-20 22:22:03,犽宿,11/4/4,$11.3k,118(38),17818,11(0)
特務小熊熊,,敗,單人/雙排,21min 09s,2021-11-13 16:29:41,賽勒斯,8/4/1,$8.7k,118(0),10666,7(0)
特務小熊熊,,敗,單人/雙排,27min 47s,2021-11-13 15:52:44,派克,2/14/10,$7.4k,18(0),5880,12(3)
特務小熊熊,,勝,一般對戰,26min 09s,2021-11-09 22:55:17,賽勒斯,14/2/8,$14.3k,148(24),30057,3(0)
特務小熊熊,,勝,一般對戰,26min 31s,2021-11-09 22:18:39,犽宿,22/3/4,$16.7k,177(21),37241,6(1)
特務小熊熊,,敗,一般對戰,28min 30s,2021-10-15 21:41:09,齊勒斯,4/11/11,$8.6k,58(1),20246,20(5)
特務小熊熊,,敗,一般對戰,20min 48s,2021-10-15 21:15:45,達瑞文,2/6/2,$5.4k,71(0),7413,2(2)
特務小熊熊,,勝,一般對戰,32min 30s,2021-10-15 20:35:04,達瑞斯,12/7/10,$14.9k,171(20),29371,11(1)
特務小熊熊,,勝,一般對戰,32min 22s,2021-10-12 19:37:17,犽宿,26/4/4,$20.9k,213(59),57606,3(1)
特務小熊熊,,勝,一般對戰,22min 04s,2021-10-12 16:33:03,達瑞文,16/6/4,$12.2k,99(16),24182,3(1)
特務小熊熊,,勝,一般對戰,16min 41s,2021-10-11 16:24:45,菲歐拉,8/2/2,$7k,81(8),14930,4(0)
特務小熊熊,,敗,阿福快打,17min 06s,2021-10-11 15:50:56,賽勒斯,4/13/4,$9.1k,36(0),15809,4(0)
特務小熊熊,,勝,單人/雙排,41min 02s,2021-10-10 18:16:02,犽宿,10/5/8,$17.5k,213(56),40017,11(4)
0小哥0,,勝,阿福快打,12min 14s,2021-09-26 22:14:08,易大師,13/8/8,$11.6k,36(10),15168,7(0)
0小哥0,,勝,阿福快打,13min 41s,2021-09-26 21:56:20,路西恩,13/6/7,$15.8k,107(8),29283,3(0)
0小哥0,,敗,一般對戰,29min 36s,2021-09-26 21:22:28,奈德麗,2/7/3,$9.3k,19(137),11279,6(6)
0小哥0,,勝,一般對戰,11min 15s,2021-09-26 21:07:51,史瓦妮,2/3/4,$4k,4(60),3185,2(0)
0小哥0,,勝,阿福快打,19min 58s,2021-09-26 20:34:21,劫,7/11/9,$15.6k,101(24),16978,4(3)
0小哥0,,敗,阿福快打,16min 36s,2021-09-26 20:12:19,布郎姆,5/12/8,$11.5k,38(0),7831,2(0)
0小哥0,,勝,隨機單中,27min 21s,2021-09-21 00:44:47,特朗德,13/11/32,$20.7k,48(0),64433,0(0)
0小哥0,,敗,隨機單中,24min 26s,2021-09-21 00:17:52,拉姆斯,4/14/28,$13.5k,13(0),18417,0(0)
0小哥0,,敗,隨機單中,23min 05s,2021-09-20 23:50:51,拉姆斯,0/10/19,$11.7k,10(0),10246,0(0)
0小哥0,,勝,隨機單中,14min 58s,2021-09-20 23:31:25,汎,15/6/25,$12.8k,37(0),21869,0(0)
0小哥0,,勝,隨機單中,20min 51s,2021-09-20 23:07:41,納瑟斯,24/7/20,$18.8k,112(0),69599,0(0)
0小哥0,,敗,隨機單中,15min 10s,2021-09-20 22:49:29,慎,3/9/17,$8.8k,4(0),5955,0(0)
0小哥0,,敗,隨機單中,15min 29s,2021-09-20 22:31:44,雷茲,6/9/19,$10.5k,37(0),15122,0(0)
0小哥0,,勝,隨機單中,13min 57s,2021-09-20 22:15:22,威寇茲,8/5/19,$10.1k,31(0),19300,0(0)
0小哥0,,勝,隨機單中,09min 58s,2021-09-20 22:02:36,劫,10/3/12,$8.7k,23(0),12711,0(0)
0小哥0,,勝,隨機單中,20min 22s,2021-09-20 21:40:12,達瑞文,15/11/18,$15.2k,72(0),28974,0(0)
0小哥0,,敗,一般對戰,32min 15s,2021-09-17 22:43:18,李星,9/10/13,$11.6k,20(113),20633,21(6)
0小哥0,,勝,隨機單中,23min 40s,2021-09-16 22:48:44,艾希,21/12/27,$20.7k,95(0),46849,0(0)
0小哥0,,敗,一般對戰,30min 59s,2021-09-16 22:14:51,特朗德,6/4/3,$11k,25(136),9598,8(8)
0小哥0,,勝,一般對戰,29min 42s,2021-09-16 21:41:34,菲艾,4/4/8,$10.1k,24(138),14263,5(3)
紫薇醬她爹,,敗,隨機單中,20min 10s,2021-06-26 11:02:13,庫奇,1/13/20,$10.9k,7(0),15169,0(0)
紫薇醬她爹,,敗,隨機單中,19min 17s,2021-06-25 12:44:46,維迦,1/8/16,$10.8k,43(0),9292,0(0)
鮪了個,,勝,一般對戰,16min 41s,2021-12-05 15:29:39,卡蜜兒,2/3/0,$3.2k,15(0),659,3(0)
我是戴紀煬,,勝,隨機單中,27min 19s,2021-12-21 18:01:16,悟空,1/13/26,$14.4k,27(0),14961,0(0)
我是戴紀煬,,敗,隨機單中,24min 11s,2021-12-21 17:33:18,賈克斯,6/15/13,$14.2k,17(0),17497,0(0)
我是戴紀煬,,敗,隨機單中,15min 49s,2021-12-21 17:14:15,亞歷斯塔,9/10/21,$11.7k,13(0),15194,0(0)
我是戴紀煬,,勝,隨機單中,14min 53s,2021-12-21 13:37:16,雷歐娜,2/8/19,$9k,15(0),7637,0(0)
我是戴紀煬,,勝,隨機單中,26min 35s,2021-12-12 01:17:24,卡爾瑟斯,8/17/22,$15.8k,33(0),34496,0(0)
我是戴紀煬,,敗,隨機單中,23min 56s,2021-12-12 00:50:46,趙信,6/16/20,$13.8k,22(0),21195,0(0)
我是戴紀煬,,勝,隨機單中,20min 50s,2021-12-12 00:26:54,納瑟斯,7/13/18,$13.2k,41(0),21155,0(0)
我是戴紀煬,,勝,隨機單中,20min 36s,2021-12-12 00:01:33,雷歐娜,8/12/27,$13.2k,31(0),12407,0(0)
我是戴紀煬,,敗,隨機單中,19min 02s,2021-12-05 23:29:48,布里茨,1/10/29,$10.6k,15(0),10927,0(0)
我是戴紀煬,,敗,隨機單中,17min 05s,2021-12-05 23:10:08,李星,3/12/16,$10.1k,13(0),6747,0(0)
我是戴紀煬,,勝,隨機單中,17min 44s,2021-12-05 22:49:08,蒙多醫生,9/10/22,$12.1k,18(0),19005,0(0)
我是戴紀煬,,勝,隨機單中,25min 18s,2021-12-03 00:50:52,布里茨,1/13/15,$13.7k,11(0),10113,0(0)
我是戴紀煬,,勝,隨機單中,21min 43s,2021-12-03 00:26:03,科加斯,4/11/17,$12.2k,14(0),16587,0(0)
我是戴紀煬,,勝,隨機單中,20min 39s,2021-12-03 00:01:39,索娜,1/6/34,$12.1k,2(0),1917,0(0)
我是戴紀煬,,敗,隨機單中,15min 41s,2021-12-02 23:42:54,魔甘娜,3/10/9,$8.9k,18(0),7980,0(0)
我是戴紀煬,,勝,隨機單中,18min 06s,2021-12-02 23:21:37,魔甘娜,4/9/18,$11.3k,32(0),20417,0(0)
我是戴紀煬,,勝,隨機單中,21min 22s,2021-12-02 22:58:00,茂凱,1/6/17,$11.9k,12(0),16085,0(0)
我是戴紀煬,,勝,隨機單中,15min 57s,2021-12-02 22:39:01,賈克斯,12/10/10,$11.8k,15(0),21114,0(0)
我是戴紀煬,,勝,隨機單中,21min 48s,2021-12-01 20:40:44,雷歐娜,6/9/35,$14.1k,18(0),15964,0(0)
我是戴紀煬,,勝,一般對戰,31min 03s,2021-11-28 23:03:47,蓋倫,3/7/4,$10.5k,146(4),7900,9(2)
Sigolon,,勝,一般對戰,21min 46s,2021-12-22 13:17:05,汎,6/5/1,$9.9k,141(8),16124,6(1)
